Gene	Max_Weight_Transition	Avg_Omega	Slope_Gain	T-Statistic_Gain	P-Value_Gain	Slope_Loss	T-Statistic_Loss	P-Value_Loss
chr13_g23293.t1	same	1.7645980555555556	-0.00630377461487337	-0.5011767184719282	0.6171648823654312	0.016302367317837883	1.3610944564767653	0.17603436571016326
chr15_g25684.t1	same	0.08576009666666665	-5.110170865568673e-06	-0.060212739849939516	0.952086363554489	6.499230191519088e-05	0.8041966628835774	0.42287371023803944
chr17_g9041.t1	same	0.5532441499999999	-0.01235584842533193	-1.4966831652350705	0.13710130775432572	0.0056832933893224925	0.7229441665361724	0.4711208996777969
chr18_g32524.t1	same	0.11487457037037035	0.0012733210947419643	1.167593184078878	0.24528562867205225	0.00047071061582190974	0.45326792712319625	0.651174381150904
chr13_g29148.t1	same	0.32351315388888885	-0.16568703024257103	-1.0580197173717862	0.29217161724883184	-0.10983620854719453	-0.7365430914458786	0.46283773774069314
chr11_g53590.t1	same	0.18126889444444444	0.00028442697901299676	1.4154451587523762	0.15952807352352613	0.00018252081026566612	0.9538542665015028	0.3420748965454018
chr10_g6795.t1	same	0.06218694583333335	0.08009228972976377	2.2982966964703597	0.023275857762322997	-0.008890224028435957	-0.2679016990201255	0.7892349344266635
chr13_g19261.t1	same	0.7964256777777778	-0.005456217367741399	-1.0335650213764767	0.3034180397123	-0.001427205896451701	-0.2839096475722689	0.7769689024289981
chr10_g36343.t1	same	0.12566009814814813	-0.0003536040134113291	-0.5538921021725137	0.5806833582946814	0.0002986538621075575	0.4912736852819741	0.6241302112870671
chr09_g29993.t1	same	0.9746982925925928	0.0009818186288788	0.5553778297765856	0.5796701350069281	0.0004978240395498547	0.29571987590032917	0.7679551226305492
chr10_g59172.t1	same	0.44162692592592595	-0.0021934536462393	-1.3457831604210515	0.1809096165714737	-0.0012120256844769031	-0.7809187163054531	0.436388146555896
chr16_g1534.t1	same	0.3754204944444445	0.000492284754008624	0.7517895780277802	0.45364960017129075	0.001214736745376143	1.948092003147701	0.05373883982341657
chr22_g17230.t1	same	0.1543333537037037	-7.682270370684382e-05	-0.07712197296101794	0.9386549535822928	-0.0016834676784286812	-1.774764389081593	0.07847237622932104
chr03_g49874.t1	same	0.18148124814814814	-0.002150584310878789	-1.0925979828060728	0.2767589827046744	-0.0011023647576632123	-0.5881344533268843	0.557547306670815
chr07_g23658.t1	same	0.8070499277777778	0.03967971801078949	1.9150120990092936	0.05787111645100874	-0.005259008390138662	-0.26653496443804614	0.7902846927907616
chr14_g43907.t1	same	0.7285567833333334	7.367025741260744e-05	0.09429161514445202	0.9250347729777586	-0.0006214074910874439	-0.8352274357942951	0.40524950355452516
chr04_g28734.t1	same	0.8234184092592591	-0.0011959531046747845	-0.5029168519991952	0.6159445238700973	-0.0012626208633145402	-0.5575738262777215	0.5781740685827745
chr23_g49696.t1	same	0.16688751296296295	0.0028987342760316863	1.4486357548183186	0.15004734713087903	-0.0013186444718373414	-0.6920315465881719	0.4902543864051261
chr01_g51852.t1	same	0.08931735481481483	-0.011919451161928647	-0.24771760368358184	0.8047762773531146	0.1546482759367032	3.3751499642439065	0.000994392432938809
chr14_g24569.t1	same	0.13941678703703703	0.0002852219091317878	0.6441150639524587	0.520730078066616	-0.00017472553477680759	-0.41436620870867663	0.6793456903114636
chr05_g21962.t1	same	0.8599868314814816	0.01249085017783643	2.114034973070761	0.036582505856000695	-0.012945937186521322	-2.3009174814109983	0.023122265687052113
chr10_g33491.t1	same	0.0949249987037037	0.0020672076040898096	1.919759160970162	0.05726216877289076	-0.0015231598620793346	-1.4854413918047893	0.14004931221168562
chr16_g30816.t1	same	0.3168349666666667	0.034679603747966345	1.6732933668960321	0.09687449984596616	-0.009053299511756022	-0.45872481173233365	0.647261553145388
chr03_g60253.t1	same	0.5225512888888888	0.0007426231647914828	0.6682445497601536	0.5052608191823428	0.0019917043004603063	1.8820847424352698	0.062246701265714216
chr16_g49173.t1	same	0.19227073333333336	0.005049050360334925	2.4391239346675997	0.01618647661399156	-0.0017929239836214279	-0.9095643329510801	0.3648755800302813
chr23_g24032.t1	same	0.606171787037037	0.10505871741503735	2.022433332993397	0.04535484329516361	0.038419326551189376	0.7766748597054428	0.4388788826101415
chr19_g36748.t1	same	0.15562008333333333	0.0018343006805070362	3.9432693996433317	0.00013568483210246986	-0.0007083104378778018	-1.5990312190766713	0.11244339126922394
chr22_g533.t1	same	0.020004575555555557	0.0016236825345173217	1.1324335521160749	0.2597099109234149	0.0035116749367576777	2.572013814641209	0.011330722302728587
chr16_g34201.t1	same	513.748592902037	-114.67279171105221	-0.2648761247276827	0.791559328224086	-449.5992292188279	-1.0905745686299626	0.2776451314244609
chr23_g54038.t1	same	0.5567273833333333	0.0009475795174153834	0.5273352365429483	0.5989344104798502	-0.0007372705770613329	-0.43086915945033655	0.6673364653538216
chr19_g59579.t1	same	0.2771600703703703	0.000617484569458649	0.2856891108861305	0.7756088033684505	0.003697292061222514	1.7963820885650392	0.07494962598078228
chr01_g21149.t1	same	0.06771866722222224	0.0007463266015775472	2.1641245386413654	0.03243588649048384	0.00032494425733937087	0.9894858175344826	0.32441648432691395
chr08_g60840.t1	same	0.07107928740740742	0.0009615678373476396	1.2193009858017232	0.22512122740405638	-0.0008676234205021344	-1.1553395562860762	0.25024669752716433
chr24_g59419.t1	same	0.24259772592592593	-0.004830979392787855	-0.533172515425307	0.5949002478518453	0.013506824568508708	1.5654283971527125	0.12011582917079255
chr04_g20629.t1	same	0.18996092592592595	3.661651194430701e-05	0.03978312933105152	0.9683321388526069	0.0007411884821232989	0.8456643286405744	0.3994231157432153
