gene,logL_H0,logL_H1,logL_M1a,tree_length_H0,tree_length_H1,tree_length_M1a,foreground_w_H0,foreground_w_H1,foreground_w_M1a,LRT_H1,p_value_H1
chr01_g749.t1.Loss.Vert.Bar,-2957.821693,-2957.821693,-2957.821693,0.51859,0.51859,0.51859,1.0,1.0,1.0,0.0,1.0
chr01_g751.t1.Loss.Vert.Bar,-4973.802365,-4973.803143,-4973.802365,0.26223,0.26222,0.26223,1.0,1.0,1.0,-0.0015560000010736985,1.0
chr01_g753.t1.Loss.Vert.Bar,-1075.345129,-1075.345129,-1077.767133,0.22223,0.22223,0.2221,1.0,1.0,1.0,0.0,1.0
chr01_g755.t1.Loss.Vert.Bar,-1885.451875,-1885.451875,-1885.451875,1.11764,1.11764,1.11764,1.0,1.0,1.0,0.0,1.0
chr01_g756.t1.Loss.Vert.Bar,-4510.1358,-4509.720719,-4510.64698,3.40647,3.40655,3.40443,1.0,2.68733,1.0,0.8301620000002004,0.36222568920301446
chr01_g758.t1.Loss.Vert.Bar,-2182.101205,-2182.101208,-2182.101205,0.14585,0.14585,0.14585,1.0,1.0,1.0,-6.000000212225132e-06,1.0
chr01_g1053.t1.Loss.Vert.Bar,-7418.234651,-7418.234662,-7418.234651,0.22066,0.22066,0.22066,1.0,1.0,1.0,-2.2000000171829015e-05,1.0
chr01_g1058.t1.Loss.Vert.Bar,-841.516975,-841.42134,-841.516835,0.22794,0.22793,0.22794,1.0,1.0,1.0,0.19127000000003136,0.6618617029493472
chr01_g1061.t1.Loss.Vert.Bar,-2360.703952,-2360.703952,-2360.703952,1.10129,1.10129,1.10129,1.0,1.0,1.0,0.0,1.0
chr01_g1065.t1.Loss.Vert.Bar,-1088.210743,-1088.210743,-1088.210743,0.91691,0.91691,0.91691,1.0,1.0,1.0,0.0,1.0
chr01_g1066.t1.Loss.Vert.Bar,-1829.336048,-1829.062611,-1830.588969,1.17073,1.1719,1.17049,1.0,2.76939,1.0,0.5468739999996615,0.459597796590307
chr01_g1069.t1.Loss.Vert.Bar,-2412.786739,-2413.397875,-2412.786739,0.2528,0.25288,0.25281,1.0,1.0,1.0,-1.2222719999999754,1.0
chr01_g1070.t1.Loss.Vert.Bar,-1316.603507,-1316.603507,-1316.603507,0.38594,0.38594,0.38595,1.0,1.0,1.0,0.0,1.0
chr01_g1071.t1.Loss.Vert.Bar,-1319.592174,-1319.902887,-1319.592174,0.31546,0.31545,0.31546,1.0,1.0,1.0,-0.6214259999997012,1.0
chr01_g1080.t1.Loss.Vert.Bar,-2318.703818,-2318.703818,-2319.787704,0.26665,0.26665,0.26626,1.0,1.0,1.0,0.0,1.0
chr01_g1085.t1.Loss.Vert.Bar,-1605.779877,-1605.779877,-1605.779959,0.11714,0.11714,0.11715,1.0,1.0,1.0,0.0,1.0
chr01_g1089.t1.Loss.Vert.Bar,-5642.185583,-5642.185583,-5642.185583,0.61142,0.61142,0.61142,1.0,1.0,1.0,0.0,1.0
chr01_g1091.t1.Loss.Vert.Bar,-4086.241243,-4086.241243,-4086.241243,1.91545,1.91545,1.91545,1.0,1.0,1.0,0.0,1.0
chr01_g1093.t1.Loss.Vert.Bar,-8550.31682,-8549.576811,-8550.603694,0.01694,0.01684,0.01693,1.0,999.0,1.0,1.4800179999983811,0.22377170605703128
chr01_g1141.t1.Loss.Vert.Bar,-2942.780043,-2941.771032,-2943.497389,0.56795,0.56927,0.56834,1.0,6.30114,1.0,2.018022000000201,0.15544151072348894
chr01_g1142.t1.Loss.Vert.Bar,-3073.088442,-3073.088442,-3073.088442,0.32855,0.32855,0.32855,1.0,1.0,1.0,0.0,1.0
chr01_g1145.t1.Loss.Vert.Bar,-2401.979075,-2401.979076,-2401.97944,0.28949,0.28949,0.28949,1.0,1.0,1.0,-1.99999976757681e-06,1.0
chr01_g1146.t1.Loss.Vert.Bar,-2536.210893,-2536.210893,-2536.210893,0.15891,0.15891,0.15891,1.0,1.0,1.0,0.0,1.0
chr01_g1151.t1.Loss.Vert.Bar,-3071.975546,-3071.650108,-3071.977398,0.53504,0.54236,0.53497,1.0,115.37095,1.0,0.6508760000006077,0.4197996607370297
chr01_g1152.t2.Loss.Vert.Bar,-2112.527701,-2112.527701,-2112.527701,0.24576,0.24576,0.24576,1.0,1.0,1.0,0.0,1.0
chr01_g1157.t1.Loss.Vert.Bar,-4315.10948,-4315.10948,-4315.109479,0.47329,0.47329,0.47329,1.0,1.0,1.0,0.0,1.0
chr01_g1158.t1.Loss.Vert.Bar,-2285.382413,-2285.354632,-2285.455923,0.32955,0.32957,0.32921,1.0,1.77901,1.0,0.055561999999554246,0.8136531072481675
chr01_g1159.t1.Loss.Vert.Bar,-4784.338209,-4784.338208,-4784.338208,0.27383,0.27383,0.27383,1.0,1.0,1.0,1.999998858082108e-06,0.9988716215311596
chr01_g1168.t1.Loss.Vert.Bar,-6279.225456,-6279.219782,-6279.25031,0.19421,0.19421,0.19419,1.0,1.70376,1.0,0.011347999999998137,0.9151642408224172
chr01_g1169.t1.Loss.Vert.Bar,-1226.229571,-1226.229562,-1226.229701,0.20265,0.20264,0.20265,1.0,1.0,1.0,1.8000000181928044e-05,0.9966148726369917
chr01_g1170.t1.Loss.Vert.Bar,-841.614915,-841.601267,-841.614915,0.86402,0.86565,0.86402,1.0,4.37544,1.0,0.02729599999997845,0.8687747502236135
chr01_g1171.t1.Loss.Vert.Bar,-4441.282619,-4441.282617,-4441.282619,0.26613,0.26611,0.26613,1.0,1.0,1.0,3.99999953515362e-06,0.998404232034963
chr01_g1172.t1.Loss.Vert.Bar,-5434.414546,-5434.414546,-5434.414546,0.42196,0.42196,0.42196,1.0,1.0,1.0,0.0,1.0
chr01_g1173.t1.Loss.Vert.Bar,-6424.785868,-6424.785862,-6424.785867,0.21267,0.21265,0.21267,1.0,1.0,1.0,1.2000000424450263e-05,0.9972360522832443
chr01_g1178.t1.Loss.Vert.Bar,-858.5349,-858.534879,-858.534929,0.08577,0.08577,0.08577,1.0,1.0,1.0,4.1999999893960194e-05,0.9948291532566537
chr01_g1179.t1.Loss.Vert.Bar,-3952.679807,-3952.679807,-3952.679807,0.34714,0.34713,0.34714,1.0,1.0,1.0,0.0,1.0
chr01_g1185.t1.Loss.Vert.Bar,-1751.192232,-1751.192233,-1750.563236,0.14801,0.14799,0.14774,1.0,1.0,1.0,-1.99999976757681e-06,1.0
