gene,logL_H0,logL_H1,logL_M1a,tree_length_H0,tree_length_H1,tree_length_M1a,foreground_w_H0,foreground_w_H1,foreground_w_M1a,LRT_H1,p_value_H1
chr01_g749.t1.Gain.Vert.Bar,-2955.078847,-2955.078847,-2957.821693,0.51885,0.51884,0.51859,1.0,1.0,1.0,0.0,1.0
chr01_g751.t1.Gain.Vert.Bar,-4973.802365,-4973.80237,-4973.802365,0.26223,0.26221,0.26223,1.0,1.0,1.0,-1.0000001566368155e-05,1.0
chr01_g753.t1.Gain.Vert.Bar,-1074.492158,-1063.509043,-1075.345129,0.2218,0.23295,0.22223,1.0,999.0,1.0,21.966229999999996,2.7749028774820817e-06
chr01_g755.t1.Gain.Vert.Bar,-1884.849141,-1884.849257,-1885.451875,1.11842,1.11842,1.11764,1.0,1.0,1.0,-0.000232000000323751,1.0
chr01_g756.t1.Gain.Vert.Bar,-4508.646922,-4508.646922,-4510.64698,3.40319,3.40319,3.40443,1.0,1.0,1.0,0.0,1.0
chr01_g758.t1.Gain.Vert.Bar,-2181.470358,-2181.470358,-2182.101207,0.14582,0.14582,0.14585,1.0,1.0,1.0,0.0,1.0
chr01_g1053.t1.Gain.Vert.Bar,-7418.088908,-7417.425841,-7418.234646,0.22069,0.22103,0.22065,1.0,10.54156,1.0,1.3261339999990014,0.24949414941101178
chr01_g1058.t1.Gain.Vert.Bar,-839.424912,-838.434125,-841.421221,0.22855,0.2284,0.22794,1.0,111.52805,1.0,1.9815739999999096,0.15922468731595635
chr01_g1061.t1.Gain.Vert.Bar,-2360.662246,-2359.715067,-2360.703952,1.10099,1.10778,1.10129,1.0,2.96369,1.0,1.8943579999995563,0.16871120027682462
chr01_g1065.t1.Gain.Vert.Bar,-1087.609849,-1088.63364,-1088.210743,0.9155,0.91569,0.91691,1.0,1.0,1.0,-2.0475820000001477,1.0
chr01_g1066.t1.Gain.Vert.Bar,-1829.398155,-1827.284632,-1830.588969,1.17431,1.18287,1.17049,1.0,6.07517,1.0,4.227045999999973,0.03978462595020339
chr01_g1069.t1.Gain.Vert.Bar,-2412.369672,-2412.369672,-2413.397875,0.25255,0.25255,0.25288,1.0,1.0,1.0,0.0,1.0
chr01_g1070.t1.Gain.Vert.Bar,-1316.603507,-1316.603552,-1316.603507,0.38594,0.38594,0.38595,1.0,1.0,1.0,-9.000000000014552e-05,1.0
chr01_g1071.t1.Gain.Vert.Bar,-1318.852784,-1318.852784,-1319.902887,0.31574,0.31574,0.31546,1.0,1.0,1.0,0.0,1.0
chr01_g1080.t1.Gain.Vert.Bar,-2319.353146,-2317.800113,-2319.787704,0.26587,0.28107,0.26626,1.0,105.81801,1.0,3.1060660000002827,0.07800115235776363
chr01_g1085.t1.Gain.Vert.Bar,-1605.779877,-1605.779877,-1605.779959,0.11715,0.11714,0.11715,1.0,1.0,1.0,0.0,1.0
chr01_g1089.t1.Gain.Vert.Bar,-5640.418086,-5639.135648,-5642.185583,0.61144,0.6126,0.61142,1.0,7.51784,1.0,2.5648759999985487,0.1092611244277197
chr01_g1091.t1.Gain.Vert.Bar,-4083.099439,-4083.099439,-4086.241243,1.91658,1.91658,1.91545,1.0,1.0,1.0,0.0,1.0
chr01_g1093.t1.Gain.Vert.Bar,-8551.114487,-8550.603697,-8550.603702,0.01688,0.01692,0.01693,1.0,1.0,1.0,1.0215800000005402,0.31214452168403706
chr01_g1141.t1.Gain.Vert.Bar,-2943.497389,-2943.497389,-2943.497389,0.56834,0.56834,0.56834,1.0,1.0,1.0,0.0,1.0
chr01_g1142.t1.Gain.Vert.Bar,-3071.367519,-3071.345168,-3073.088442,0.32843,0.32851,0.32854,1.0,1.34416,1.0,0.044702000000143016,0.8325529391643613
chr01_g1145.t1.Gain.Vert.Bar,-2401.733878,-2401.733878,-2401.97944,0.28961,0.28961,0.2895,1.0,1.0,1.0,0.0,1.0
chr01_g1146.t1.Gain.Vert.Bar,-2536.210907,-2536.210893,-2536.210893,0.1589,0.15891,0.15891,1.0,1.0,1.0,2.8000000384054147e-05,0.995778011428023
chr01_g1151.t1.Gain.Vert.Bar,-3071.863721,-3071.161134,-3071.977398,0.535,0.53695,0.53497,1.0,7.71571,1.0,1.405174000000443,0.23585919171819936
chr01_g1152.t2.Gain.Vert.Bar,-2111.490037,-2108.557037,-2112.527701,0.24596,0.25106,0.24576,1.0,17.90367,1.0,5.8659999999999854,0.015436087126862452
chr01_g1157.t1.Gain.Vert.Bar,-4315.10948,-4315.10948,-4315.10948,0.47329,0.47329,0.47329,1.0,1.0,1.0,0.0,1.0
chr01_g1158.t1.Gain.Vert.Bar,-2284.286453,-2284.215371,-2285.455923,0.32996,0.3301,0.32922,1.0,1.91566,1.0,0.14216400000077556,0.7061391109327289
chr01_g1159.t1.Gain.Vert.Bar,-4780.990257,-4780.724315,-4784.338208,0.27353,0.2737,0.27383,1.0,1.85704,1.0,0.5318839999999909,0.4658158620388022
chr01_g1168.t1.Gain.Vert.Bar,-6278.810767,-6278.810635,-6279.25031,0.19417,0.19418,0.19419,1.0,1.0,1.0,0.0002640000002429588,0.987036480762534
chr01_g1169.t1.Gain.Vert.Bar,-1226.185461,-1226.153243,-1226.229527,0.20242,0.20268,0.20265,1.0,3.49202,1.0,0.06443600000011429,0.7996172608084364
chr01_g1170.t1.Gain.Vert.Bar,-840.729723,-840.51655,-841.614915,0.8643,0.86505,0.86402,1.0,2.15143,1.0,0.4263459999999668,0.5137873789745957
chr01_g1171.t1.Gain.Vert.Bar,-4441.232327,-4441.23233,-4441.282619,0.2661,0.26611,0.26613,1.0,1.0,1.0,-6.000000212225132e-06,1.0
chr01_g1172.t1.Gain.Vert.Bar,-5434.414545,-5434.414556,-5434.414546,0.42196,0.42196,0.42196,1.0,1.00015,1.0,-2.2000000171829015e-05,1.0
chr01_g1173.t1.Gain.Vert.Bar,-6424.794408,-6424.794408,-6424.785867,0.21268,0.21268,0.21267,1.0,1.0,1.0,0.0,1.0
chr01_g1178.t1.Gain.Vert.Bar,-858.492114,-858.492287,-858.535027,0.08571,0.08571,0.08577,1.0,1.0,1.0,-0.0003460000000359287,1.0
chr01_g1179.t1.Gain.Vert.Bar,-3952.679808,-3947.245973,-3952.679807,0.34714,0.35783,0.34714,1.0,80.4354,1.0,10.867669999999634,0.0009785756733776978
chr01_g1185.t1.Gain.Vert.Bar,-1750.563156,-1750.563314,-1750.563176,0.14774,0.14768,0.14774,1.0,1.0,1.0,-0.0003160000001116714,1.0
chr01_g1480.t1.Gain.Vert.Bar,-8975.595394,-8969.334935,-8975.64598,0.70448,0.71632,0.70437,1.0,50.96255,1.0,12.520917999998346,0.00040242111948606696
chr01_g1481.t1.Gain.Vert.Bar,-2880.679483,-2880.679484,-2882.060719,0.17429,0.1743,0.17413,1.0,1.0,1.0,-1.99999976757681e-06,1.0
chr01_g1484.t1.Gain.Vert.Bar,-1344.312626,-1344.312626,-1344.312626,0.22005,0.22006,0.22006,1.0,1.0,1.0,0.0,1.0
chr01_g1487.t1.Gain.Vert.Bar,-1518.341255,-1518.341255,-1518.454945,1.48892,1.48892,1.48986,1.0,1.0,1.0,0.0,1.0
chr01_g1488.t1.Gain.Vert.Bar,-10495.430626,-10495.12734,-10496.851328,0.75533,0.75624,0.75609,1.0,2.88769,1.0,0.6065720000005967,0.43608143991070747
chr01_g1489.t1.Gain.Vert.Bar,-2811.634829,-2811.634829,-2811.670345,0.28551,0.28551,0.28551,1.0,1.0,1.0,0.0,1.0
chr01_g1496.t1.Gain.Vert.Bar,-2217.373942,-2217.37394,-2216.694056,0.17028,0.17028,0.17264,1.0,1.0,1.0,4.000000444648322e-06,0.9984042318535454
chr01_g1499.t1.Gain.Vert.Bar,-3561.452737,-3561.450493,-3561.498856,0.14751,0.1475,0.14753,1.0,1.0,1.0,0.00448800000049232,0.9465876445441314
chr01_g1501.t1.Gain.Vert.Bar,-2907.219183,-2906.545439,-2911.937935,1.3351,1.33527,1.33301,1.0,3.34002,1.0,1.3474880000003395,0.24571774852453082
chr01_g1503.t1.Gain.Vert.Bar,-2441.185076,-2441.185068,-2442.178865,0.30579,0.30579,0.30703,1.0,1.0,1.0,1.6000000869098585e-05,0.9968084701808574
chr01_g1507.t1.Gain.Vert.Bar,-898.282207,-899.15665,-897.399496,0.15866,0.15862,0.15876,1.0,1.0,1.0,-1.748886000000084,1.0
chr01_g1508.t1.Gain.Vert.Bar,-9562.393867,-9562.254672,-9562.94311,0.24249,0.2426,0.24255,1.0,2.28893,1.0,0.2783900000031281,0.5977584145176689
chr01_g1509.t1.Gain.Vert.Bar,-3694.193092,-3693.64346,-3694.236912,0.2694,0.26966,0.26941,1.0,8.02732,1.0,1.099264000000403,0.2944276822770857
